MBB  Feel Good.mp3,EDM,-162.0297088623047,117.94871520996094,-30.501811981201172,39.02775955200195,-16.904170989990234,24.284690856933594,-12.426350593566895,13.31926155090332,-6.7417826652526855,7.838132858276367,-5.628269195556641,2.225710153579712,-3.842991590499878,3397.900546724697,3613.3920210443994,7356.223935111842,0.07149112652491083,0.4926187992095947,0.42777690291404724,0.4402402937412262,0.4135778248310089,0.4996723532676697,0.43071022629737854,0.4791196584701538,0.6437236070632935,0.4724389314651489,0.5028381943702698,0.4478958249092102,0.49752914905548096
Fredji - Welcome Sunshine (Vlog No Copyright Music).mp3,EDM,-193.4383087158203,134.84181213378906,-12.074766159057617,42.804664611816406,-8.542203903198242,17.291696548461914,-9.229819297790527,2.4791979789733887,-5.14988899230957,1.584626317024231,-0.659742534160614,-4.908539295196533,-1.505499005317688,2410.797522334621,2814.4021324462838,5381.750904665554,0.04640259536418943,0.4017223119735718,0.30557769536972046,0.40985745191574097,0.5284856557846069,0.4248431622982025,0.4512462913990021,0.29238981008529663,0.37262585759162903,0.3433018922805786,0.3592755198478699,0.530570387840271,0.40164661407470703
Ikson - New Day (Vlog No Copyright Music).mp3,EDM,-146.863037109375,148.484375,-18.025297164916992,33.220970153808594,-14.026142120361328,15.21082592010498,-21.695064544677734,3.5777547359466553,-10.539010047912598,-1.9003348350524902,-14.10210132598877,-10.939969062805176,-3.0274598598480225,2437.974524480464,2717.2805462856013,5092.498203052464,0.05855666068553067,0.400727242231369,0.27762413024902344,0.40499645471572876,0.353349894285202,0.3258965015411377,0.5179859399795532,0.2833296060562134,0.25927749276161194,0.20428650081157684,0.3682554066181183,0.6916406154632568,0.3886343538761139
Ikson - Anywhere (Vlog No Copyright Music).mp3,EDM,-155.24325561523438,145.84231567382812,3.972315788269043,33.25581741333008,-7.632439136505127,17.196205139160156,-6.71401309967041,10.56006908416748,-5.892943859100342,5.260365962982178,-5.3799638748168945,-0.24611328542232513,-1.3160884380340576,2172.2870553489465,2892.286611047343,4800.53967782794,0.035942135446020415,0.38727158308029175,0.38436856865882874,0.5143030881881714,0.40976256132125854,0.3850758671760559,0.5814164280891418,0.4299345314502716,0.3609327971935272,0.33461400866508484,0.4622587561607361,0.5981552004814148,0.4187755882740021
Jarico - Island.mp3,EDM,-228.43365478515625,112.85786437988281,6.0736494064331055,58.980472564697266,12.660901069641113,18.539447784423828,-11.140413284301758,-6.846256732940674,-12.22242546081543,2.9563164710998535,1.3768057823181152,9.73496150970459,1.9235470294952393,2352.3431744731865,2752.8189694184834,4980.0791623913565,0.045502971340334784,0.5339288711547852,0.45245152711868286,0.4793212413787842,0.625967264175415,0.5172768831253052,0.5049388408660889,0.42663323879241943,0.5134072303771973,0.3940381407737732,0.34200015664100647,0.45970162749290466,0.4750960171222687
#90 Do It (Official).mp3,EDM,-186.25872802734375,137.85679626464844,-4.9706339836120605,32.42404556274414,-19.260156631469727,16.220909118652344,-9.642492294311523,7.095853328704834,-8.755645751953125,6.395195007324219,-8.124691009521484,-5.903812408447266,-4.364058494567871,2588.3576878552467,2973.4294705371535,5608.01429996983,0.05904603963537277,0.4360198974609375,0.37310102581977844,0.3558356761932373,0.45738962292671204,0.31155624985694885,0.3069647550582886,0.28330183029174805,0.44059306383132935,0.5687820911407471,0.4051985740661621,0.49500414729118347,0.3824951946735382
Ikson - Blue Sky (Vlog No Copyright Music).mp3,EDM,-199.10891723632812,137.28457641601562,6.143115520477295,32.00254821777344,-14.504799842834473,19.321056365966797,-11.18667984008789,1.9811959266662598,-11.47640609741211,-0.558904230594635,-2.297325372695923,1.3256542682647705,5.803945541381836,2194.788061727746,2569.2366793121637,4784.131764520524,0.04944226457993821,0.39616885781288147,0.31754928827285767,0.3640688359737396,0.4547571837902069,0.3701728582382202,0.4864521622657776,0.38740965723991394,0.49530911445617676,0.4380493462085724,0.37734749913215637,0.5229421854019165,0.3831629157066345
Fredji - Flying High (Official Video).mp3,EDM,-181.77804565429688,128.89239501953125,-9.035686492919922,55.524959564208984,-14.477566719055176,30.158950805664062,-8.118330001831055,11.151315689086914,-2.662317991256714,-0.062369007617235184,-4.826869487762451,1.3084948062896729,0.02956545166671276,2856.6122144801966,3311.4595333129078,6521.747551135545,0.056269805454629666,0.4568535089492798,0.35819655656814575,0.4221437871456146,0.5167508721351624,0.43481287360191345,0.5271537899971008,0.39209452271461487,0.41156187653541565,0.40554603934288025,0.4491622745990753,0.5258138179779053,0.41014280915260315
Vexento - Trippy Love.mp3,EDM,-168.51522827148438,135.4634246826172,-22.68988800048828,45.8182258605957,5.918864727020264,20.91676902770996,2.3430581092834473,12.31796646118164,-1.0042060613632202,1.7444634437561035,-1.3366906642913818,-2.102212429046631,-0.35208097100257874,2079.7808857282334,2623.0825939351153,4487.677945093123,0.03519551242028847,0.6364088654518127,0.5554389953613281,0.5310377478599548,0.47765249013900757,0.5204870104789734,0.5984726548194885,0.45525923371315,0.46332836151123047,0.4243163466453552,0.47652801871299744,0.48617544770240784,0.5323066115379333
Ikson - Lights (Vlog No Copyright Music).mp3,EDM,-182.3334197998047,144.61599731445312,3.055521249771118,32.951820373535156,-6.535513877868652,12.671286582946777,-12.086577415466309,9.489248275756836,-7.140395641326904,3.713747262954712,-4.1510210037231445,1.7338159084320068,1.3186743259429932,2179.0774328977395,2818.8673787073785,4736.649355673527,0.036742991109379425,0.7140072584152222,0.48192504048347473,0.35349974036216736,0.3493373692035675,0.5024957656860352,0.42123761773109436,0.31531035900115967,0.3993206024169922,0.32767006754875183,0.3464302122592926,0.3075813949108124,0.3917485177516937
#16 Alive (Official).mp3,EDM,-184.82406616210938,144.23123168945312,7.769484996795654,31.521059036254883,-10.367862701416016,15.908424377441406,-14.511621475219727,0.07329148054122925,-17.986061096191406,-5.092194080352783,-15.012557983398438,-5.378049850463867,-2.963526725769043,2055.510701559785,2558.5592247004993,4490.114621500686,0.04008631077905646,0.459086149930954,0.3885139226913452,0.3062796890735626,0.40414750576019287,0.3219054937362671,0.2566566467285156,0.2250560075044632,0.3277619779109955,0.4772893488407135,0.37888070940971375,0.41677603125572205,0.32050585746765137
Fredji - Happy Life (Vlog No Copyright Music).mp3,EDM,-208.73587036132812,122.6830062866211,-1.2085031270980835,56.8997802734375,-9.445914268493652,27.53612518310547,0.4727271795272827,7.549053192138672,0.13020600378513336,-2.5380823612213135,0.33663249015808105,-1.2615387439727783,2.782832622528076,2534.123416928485,3047.7922264247622,5866.691712391673,0.04796822995164531,0.5750710964202881,0.6480865478515625,0.5469477772712708,0.5870276093482971,0.47887077927589417,0.4804493188858032,0.42814284563064575,0.4359411299228668,0.5063924193382263,0.529914140701294,0.5739966034889221,0.5216882228851318
MBB  Beach.mp3,EDM,-174.31825256347656,107.46485137939453,-46.556427001953125,23.951553344726562,-20.77916145324707,16.16217041015625,-8.446701049804688,8.998702049255371,-4.365453720092773,6.631956577301025,-2.4649016857147217,0.678894579410553,0.03378351405262947,3432.2028813319866,3306.5502818770074,6967.6015783505945,0.08198950395748797,0.41637134552001953,0.4695172905921936,0.4353429973125458,0.5479836463928223,0.34709110856056213,0.3425978720188141,0.4827212393283844,0.35406914353370667,0.38905030488967896,0.339469850063324,0.4754354953765869,0.5839871168136597
Ehrling - You And Me.mp3,EDM,-214.58314514160156,133.9015350341797,14.447879791259766,38.32538604736328,-0.8291501998901367,18.069374084472656,-3.7773334980010986,5.415764808654785,-1.7951385974884033,2.066689968109131,-0.5124804377555847,3.6213574409484863,2.2921581268310547,1839.483047215591,2576.7453932990325,3742.7872419081596,0.030388331191602294,0.44172149896621704,0.5459110736846924,0.6440842151641846,0.5589749813079834,0.5381740927696228,0.4228615462779999,0.39480236172676086,0.326526939868927,0.3797430992126465,0.4765552580356598,0.4370236098766327,0.4473959505558014
Erik Lund - Summertime [NCS Fanmade].mp3,EDM,-168.12620544433594,116.57768249511719,4.575926303863525,40.67262649536133,-11.618684768676758,33.78957748413086,-20.632335662841797,9.468853950500488,-17.028457641601562,17.330862045288086,-4.636734485626221,10.00119686126709,8.616471290588379,3552.937226388179,3936.810750885513,8057.995405917085,0.0644651130475877,0.37833845615386963,0.41392382979393005,0.458394318819046,0.6127883195877075,0.43988069891929626,0.5138049721717834,0.3395763635635376,0.2924771308898926,0.31331294775009155,0.3268991708755493,0.3790360987186432,0.33087897300720215
